Item,Frequency
"그냥 전화 몇번한거야",20
"한명입니다 저희가 없애버리면 되지않을까요",20
"카시안이 아닌 내가",20
"수도 있어요 그래서",20
"씨 축제는 즐기고 계시는지요",20
"있으면 역무원에게 알려주시기 바랍니다",20
"전부는 아니다",20
"바라는 사람은",20
"본 사람이 있어",20
"말씀드릴 수가",20
"나랑 단둘이",20
"당신에게 경고 했습니다",20
"증명할 수가",20
"임무를 맡은",20
"dad was",20
"나에게 기어오르지 못해",20
"전부에게 전해주십시요 누구라도 온다면",20
"애들이 좀",20
"SALAD 제작 짐은",20
"들었어 다른",20
"네이단 제임스호에",20
"수백 번도",20
"사랑하는 사람을 위해",20
"집도 타버렸지 가진거라곤 복수심",20
"알고 있는 모든 것",20
"the whole thing''s done",20
"있을 거야 만약",20
"해보면 어떨까",20
"난 무섭지 않아",20
"수사에 혼선을",20
"네가 도와줘야 해",20
"칼날이 대동맥을",20
"수상한 일이",20
"be going",20
"건물을 짓고",20
"너를 기다리는거야 이리와 얘야",20
"차지할거고 그리고 너가 그",20
"평화 조약을",20
"그가 나에게 빚을 졌습니다",20
"가봐 네",20
"카모라가 현상금을 두배로 늘렸어",20
"어디로 갔는지도",20
"개 이름은 있나",20
"지 두 달",20
"들었어 이제",20
"가까워 아니면",20
"것 날",20
"당신에게 얼마나",20
"하니까 그게",20
"멀리서 보면",20
"년 가을",20
"너를 다시 이세계에",20
"오늘 고마웠어",20
"때로 돌아가고",20
"안 하고는",20
"너를 도왔지",20
"박물관에 있어 얼이 안내할걸세",20
"박물관에 있어 얼이",20
"너를 도왔지 만약 이일을",20
"난 죽음을",20
"그가 돌아올",20
"계속 신경",20
"전시회를 통하여 새로운",20
