Category,Type,Character1,Pinyin1,Frequency1,Character2,Pinyin2,Frequency2,Difficulty,Notes
Complex,Palatal-Retroflex: q-sh,起,qi3,231,史,shi3,4,Hard,Alternating: 起起史起史史 (qi3-qi3-shi3-qi3-shi3-shi3)
Complex,Palatal-Dental: q-z,起,qi3,231,紫,zi3,3,Hard,Alternating: 起起紫起紫紫 (qi3-qi3-zi3-qi3-zi3-zi3)
Complex,Palatal-Retroflex: q-ch,起,qi3,231,齿,chi3,3,Hard,Alternating: 起起齿起齿齿 (qi3-qi3-chi3-qi3-chi3-chi3)
Complex,Dental-Retroflex: s-sh,斯,si1,156,师,shi1,77,Hard,Alternating: 斯斯师斯师师 (si1-si1-shi1-si1-shi1-shi1)
Complex,Retroflex-Dental: sh-z,生,sheng1,229,增,zeng1,1,Hard,Alternating: 生生增生增增 (sheng1-sheng1-zeng1-sheng1-zeng1-zeng1)
Complex,Dental-Retroflex: z-sh,自,zi4,175,似,shi4,55,Hard,Alternating: 自自似自似似 (zi4-zi4-shi4-zi4-shi4-shi4)
Complex,Palatal-Retroflex: q-sh,气,qi4,173,似,shi4,55,Hard,Alternating: 气气似气似似 (qi4-qi4-shi4-qi4-shi4-shi4)
Complex,Retroflex-Palatal: zh-j,知,zhi1,205,激,ji1,17,Hard,Alternating: 知知激知激激 (zhi1-zhi1-ji1-zhi1-ji1-ji1)
Complex,Retroflex-Palatal: sh-j,时,shi2,195,及,ji2,26,Hard,Alternating: 时时及时及及 (shi2-shi2-ji2-shi2-ji2-ji2)
Complex,Retroflex-Palatal: zh-j,知,zhi1,205,击,ji1,14,Hard,Alternating: 知知击知击击 (zhi1-zhi1-ji1-zhi1-ji1-ji1)
Complex,Retroflex-Dental: zh-z,知,zhi1,205,兹,zi1,13,Hard,Alternating: 知知兹知兹兹 (zhi1-zhi1-zi1-zhi1-zi1-zi1)
Complex,Retroflex-Palatal: sh-j,时,shi2,195,急,ji2,23,Hard,Alternating: 时时急时急急 (shi2-shi2-ji2-shi2-ji2-ji2)
Complex,Dental-Retroflex: z-sh,自,zi4,175,士,shi4,43,Hard,Alternating: 自自士自士士 (zi4-zi4-shi4-zi4-shi4-shi4)
Complex,Dental-Palatal: z-j,自,zi4,175,记,ji4,43,Hard,Alternating: 自自记自记记 (zi4-zi4-ji4-zi4-ji4-ji4)
Complex,Retroflex-Dental: zh-s,知,zhi1,205,丝,si1,12,Hard,Alternating: 知知丝知丝丝 (zhi1-zhi1-si1-zhi1-si1-si1)
Complex,Dental-Retroflex: z-sh,走,zou3,206,守,shou3,10,Hard,Alternating: 走走守走守守 (zou3-zou3-shou3-zou3-shou3-shou3)
Complex,Retroflex-Palatal: zh-q,知,zhi1,205,漆,qi1,11,Hard,Alternating: 知知漆知漆漆 (zhi1-zhi1-qi1-zhi1-qi1-qi1)
